place_all, race_no, first, last, age, nation, club, time, medal, category
6000 / 5206 / 623,26916,Ishmael, Hassa,50,RSA,K Way VOB Running Club,10:18:31,Bronze,M MAS
6001 / 5207 / 2458,34474,Shawn, Lamprecht,37,RSA,K Way VOB Running Club,10:18:31,Bronze,M SEN
6002 / 5208 / 2459,25166,Gareth, Gammie,38,RSA,K Way VOB Running Club,10:18:31,Bronze,M SEN
6003 / 5209 / 2042,54886,James, Kantor,42,RSA,K Way VOB Running Club,10:18:32,Bronze,M VET
6004 / 5210 / 624,56136,Frank, Ohlson,55,RSA,Ravensmead Athletic Club,10:18:41,Bronze,M MAS
6005 / 5211 / 2043,49379,Khazamula, Chabalala,41,RSA,Midrand Striders,10:18:42,Bronze,M VET
6006 / 5212 / 2460,29265,Timothy, Gwala,34,RSA,Nedbank Running Club KZN,10:18:43,Bronze,M SEN
6007 / 795 / 80,45511,Ann, Swarts,55,RSA,Harlequin Harriers,10:18:44,Bronze,F MAS
6008 / 5213 / 85,13915,Charlie, Clarke,60,RSA,Harlequin Harriers,10:18:44,Bronze,M GM
6009 / 5214 / 2044,32368,Stephen, Wilson,47,UAE,Dubai Creek Striders,10:18:45,Bronze,M VET
6010 / 5215 / 2461,34059,Carl, Smith,33,RSA,Umgeni Water Athletic Club,10:18:45,Bronze,M SEN
6011 / 5216 / 2045,27072,Schalk, Smit,49,RSA,Strand Atletiekklub,10:18:48,Bronze,M VET
6011 / 796 / 390,34046,Angelique, Smit,38,RSA,Strand Atletiekklub,10:18:48,Bronze,F SEN
6013 / 5217 / 2462,16947,Pieter, Botha,27,RSA,K Way VOB Running Club,10:18:50,Bronze,M SEN
6014 / 797 / 81,30360,Trish, Schuin,50,RSA,Somerset East Athletics Club,10:18:50,Bronze,F MAS
6015 / 5218 / 2463,29623,Mojalefa, Mokone,36,RSA,Adventists Athletics Club,10:18:52,Bronze,M SEN
6016 / 5219 / 2046,16468,Sean, Davids,41,RSA,Ravensmead Athletic Club,10:18:54,Bronze,M VET
6017 / 798 / 391,33281,Busisiwe, Mathabi,37,RSA,Team Vitality - CG,10:18:56,Bronze,F SEN
6018 / 5220 / 2464,29272,Louis, Bieldt,31,RSA,Team Vitality - CG,10:18:58,Bronze,M SEN
6019 / 5221 / 2047,59572,Moses, Phale,43,RSA,Sibanye Gold Beatrix Mine Athletic Club,10:18:58,Bronze,M VET
6020 / 5222 / 2048,15849,Maite, Sebolai,47,RSA,Rand Athletic Club,10:19:00,Bronze,M VET
6021 / 5223 / 2465,47997,Carl, Tabane,39,RSA,Addicted to life Multisport + Lifestyle Club,10:19:04,Bronze,M SEN
6022 / 5224 / 2049,18037,Paul, Maphoto,46,RSA,Aerobics 4 All,10:19:05,Bronze,M VET
6023 / 5225 / 2050,28236,Michael, Khoza,46,RSA,Queensburgh Harriers Athletic Club,10:19:05,Bronze,M VET
6024 / 5226 / 2466,34411,Maik, Kämmerer,38,SUI,,10:19:06,Bronze,M SEN
6025 / 5227 / 2051,5693,Michael, Brown,47,RSA,Umhlathuze Athletic Club,10:19:06,Bronze,M VET
6026 / 5228 / 2052,50252,Stuart, Mann,40,RSA,Fourways Road Runners,10:19:06,Bronze,M VET
6027 / 5229 / 2053,44297,Iqbal, Baruffwala,45,RSA,Benoni Northerns Athletics Club,10:19:07,Bronze,M VET
6028 / 5230 / 2467,12095,Ayanda, Boltina,35,RSA,Manoni Running Club,10:19:13,Bronze,M SEN
6029 / 5231 / 2468,31922,Innocent,Siyabonga  Thusi,33,RSA,South Coast Striders Athletic Club,10:19:14,Bronze,M SEN
6030 / 799 / 320,34670,Maria, Thekiso,45,RSA,Eskom Athletic Club - CGA,10:19:17,Bronze,F VET
6031 / 5232 / 2054,20082,Shaun, Reed,42,BRN,MIdlands Athletic Club,10:19:18,Bronze,M VET
6032 / 800 / 321,16529,Phumzile, Manqele,42,RSA,SABC Athletic Club,10:19:19,Bronze,F VET
6033 / 5233 / 2055,54558,Abraham,Matthys  Smit,45,RSA,Troisport Tri Club,10:19:22,Bronze,M VET
6034 / 801 / 322,35303,Kirstie, Papageorgiou,46,ZAM,Virginia Athletic,10:19:23,Bronze,F VET
6035 / 5234 / 625,54665,Warren, D Rozario,59,GBR,SANDWELL VALLEY R C,10:19:28,Bronze,M MAS
6036 / 5235 / 2056,51621,Smanga, Mxephe,44,RSA,Diepsloot Athletic Club,10:19:28,Bronze,M VET
6037 / 5236 / 626,36435,Rene,A.  Huber,52,SUI,,10:19:30,Bronze,M MAS
6038 / 5237 / 2057,22692,Sizwe, Calaza,46,RSA,Cheetahs Athletic Club,10:19:30,Bronze,M VET
6039 / 5238 / 2058,36162,Tefo, Ramokhothwane,42,RSA,Nedbank Running Club Vanderbijlpark,10:19:31,Bronze,M VET
6040 / 802 / 392,18824,Alexis, Badenhorst,28,RSA,Nelspruit Marathon Club,10:19:32,Bronze,F SEN
6041 / 5239 / 2469,35808,Tyrone, Jooste,23,RSA,Twini Athletic Club,10:19:33,Bronze,M SEN
6042 / 5240 / 2470,15560,Alistair, Jones,35,RSA,Twini Athletic Club,10:19:33,Bronze,M SEN
6043 / 5241 / 2059,37816,Gary, O Connor,47,RSA,Twini Athletic Club,10:19:35,Bronze,M VET
6044 / 5242 / 2471,33694,Mahlasela, Nhlengetwa,34,RSA,Adventists Athletics Club,10:19:35,Bronze,M SEN
6045 / 5243 / 627,4587,Andries, Venter,54,RSA,Alberton Amateur Athletic Club,10:19:36,Bronze,M MAS
6046 / 5244 / 2060,40647,Sean, Scott,50,RSA,Alberton Amateur Athletic Club,10:19:36,Bronze,M VET
6047 / 5245 / 2061,31189,Ntsopa, Matlala,48,RSA,Zwakala Athletics Club,10:19:39,Bronze,M VET
6048 / 5246 / 2472,44086,Nkululeko, Baloyi,29,RSA,Nedbank Running Club Johannesburg,10:19:39,Bronze,M SEN
6049 / 5247 / 2062,36123,Phaswa,Kenneth  Mokoo,43,RSA,Eskom Athletic Club - MPU,10:19:40,Bronze,M VET
6050 / 5248 / 628,55863,Gert, Enile,56,RSA,Run Walk For Life - CG,10:19:40,Bronze,M MAS
6051 / 5249 / 629,52529,Schoombee, Pretorius,59,RSA,Madiba Bay Warriors Running Club,10:19:40,Bronze,M MAS
6052 / 5250 / 630,9814,Zwelakhe,Richard  Nxumalo,52,RSA,Ubunye Athletic Club,10:19:41,Bronze,M MAS
6053 / 5251 / 2473,40501,Amos, Mashiane,34,RSA,Magnolia Road Runners,10:19:41,Bronze,M SEN
6054 / 5252 / 2474,43227,Stephen, Mokhuwa,34,RSA,SAPS - Northern FS,10:19:42,Bronze,M SEN
6055 / 5253 / 2475,33421,Phapang,Bransby  Chakana,38,RSA,Spartan Harriers,10:19:42,Bronze,M SEN
6056 / 5254 / 2476,19903,Nicholas, Tingle,26,RSA,Riverside Harriers,10:19:43,Bronze,M SEN
6057 / 5255 / 2063,25192,Fezile, Groom,47,RSA,SANDF-WP,10:19:44,Bronze,M VET
6058 / 5256 / 631,43494,Mandla,Cyril  Shelembe,55,RSA,Liberty OYL Athletic Club,10:19:45,Bronze,M MAS
6059 / 803 / 323,15650,Tracey, Wolf,47,RSA,Morningside Country Club Road Runners MCCRR,10:19:47,Bronze,F VET
6060 / 5257 / 86,19728,Angus, Hudson,61,RSA,Morningside Country Club Road Runners MCCRR,10:19:47,Bronze,M GM
6061 / 804 / 324,39387,Tracy, Bamber,43,RSA,Morningside Country Club Road Runners MCCRR,10:19:47,Bronze,F VET
6062 / 5258 / 2064,33992,David, Nhlapo,44,RSA,Umhlathuze Athletic Club,10:19:48,Bronze,M VET
6063 / 5259 / 2065,59679,Quinton, Jacobs,42,RSA,Mitchells Plain Titans,10:19:49,Bronze,M VET
6064 / 805 / 393,37418,Margaretha, Mainx,34,GER,,10:19:50,Bronze,F SEN
6065 / 5260 / 632,40801,Neels, Van Niekerk,58,RSA,Nedbank Running Club Bloemfontein,10:19:51,Bronze,M MAS
6066 / 806 / 394,17115,Erika, Nöthnagel,36,RSA,Durbanville Athletic Club,10:19:52,Bronze,F SEN
6067 / 5261 / 2477,47335,Christiaan,Johannes  De Beer,39,RSA,Sibanye Gold Kloof Athletic Club,10:19:54,Bronze,M SEN
6068 / 5262 / 2478,29067,James, Farren,26,RSA,Nedbank Running Club KZN,10:19:57,Bronze,M SEN
6069 / 807 / 325,12804,Karin, Müller,46,RSA,Somerset East Athletics Club,10:19:57,Bronze,F VET
6070 / 5263 / 87,39275,Peter, Sebola,62,RSA,Wingate Road Runners,10:19:58,Bronze,M GM
6071 / 5264 / 633,52218,George, Enslin,57,RSA,Hoedspruit Running Club,10:20:00,Bronze,M MAS
6072 / 5265 / 2066,54152,Lucas, Simelane,46,RSA,SANDF Athletic Club - KZN,10:20:02,Bronze,M VET
6073 / 5266 / 2067,408,Darrel, Adams,43,GBR,Istead & Ifield Harriers,10:20:05,Bronze,M VET
6074 / 808 / 326,14887,Karin, Boegman,42,RSA,Magnolia Road Runners,10:20:08,Bronze,F VET
6075 / 809 / 395,34896,Adri, Van Den Heever,36,RSA,Green Mile Athletics Club,10:20:08,Bronze,F SEN
6076 / 5267 / 2068,21433,Lesiba, Aphane,43,RSA,Telkom Athletic Club - GN,10:20:08,Bronze,M VET
6077 / 5268 / 634,20781,Maxwell, Mngwengwe,50,RSA,Nedbank Running Club KZN,10:20:09,Bronze,M MAS
6078 / 5269 / 2069,17690,Thembi, Sithole,45,RSA,Soweto Cabal Athletic Club,10:20:09,Bronze,M VET
6079 / 810 / 396,16973,Lisa, De Winnaar,34,RSA,Run & Walk For life,10:20:10,Bronze,F SEN
6080 / 5270 / 2070,26377,Jerry, Maluka,50,RSA,Anglo American Thermal Coal Athletic Club,10:20:11,Bronze,M VET
6081 / 5271 / 88,16043,Sidy, Diallo,61,FRA,,10:20:12,Bronze,M GM
6082 / 5272 / 2479,32949,Armandt, Van Den Berg,28,RSA,BMW Athletic Club,10:20:12,Bronze,M SEN
6083 / 5273 / 635,57044,Ebrahima, Darius,55,RSA,Central Athletic Club,10:20:13,Bronze,M MAS
6084 / 5274 / 2480,15388,Johan, Greeff,36,RSA,Assegaai Marathon Club,10:20:15,Bronze,M SEN
